                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.4335,4.9509,3.9424,0.74905,0.72857,0.72963,0.56303,2.0953,2.1492,3.2238,3.33E-05,3.33E-05,3.33E-05
2,2.3665,3.981,3.308,0.71891,0.73016,0.72549,0.56126,2.0917,2.142,3.222,7.51E-05,7.51E-05,7.51E-05
3,2.1453,3.3163,2.9868,0.70733,0.73016,0.71165,0.56508,1.967,2.2944,3.0678,0.00010695,0.00010695,0.00010695
4,2.0026,3.4825,3.0604,0.84199,0.65873,0.75592,0.60496,1.8644,2.0112,2.9013,0.00012891,0.00012891,0.00012891
5,2.1298,2.8632,3.3795,0.80928,0.68254,0.80456,0.64518,1.7883,1.6942,2.8253,0.00014096,0.00014096,0.00014096
6,2.0133,2.7926,3.019,0.78101,0.77502,0.81871,0.65583,1.7449,1.519,2.7563,0.00014311,0.00014311,0.00014311
7,1.8977,2.5602,2.6596,0.7967,0.74123,0.8251,0.67231,1.7432,1.4799,2.7352,0.00013536,0.00013536,0.00013536
8,1.9204,2.796,2.9443,0.80584,0.80103,0.81219,0.66478,1.7107,1.4852,2.7084,0.00011771,0.00011771,0.00011771
9,1.8283,2.3996,2.8801,0.80023,0.82986,0.82843,0.67899,1.6981,1.4317,2.6955,9.02E-05,9.02E-05,9.02E-05
10,1.9945,2.6584,3.0435,0.80744,0.85327,0.83937,0.68844,1.6857,1.4188,2.6873,5.27E-05,5.27E-05,5.27E-05
