                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9228,                 13.428,                 3.9845,                0.00275,                0.78333,                0.08559,                0.01688,                 3.6669,                 11.277,                 3.5725,             0.00018337,             0.00018337,             0.00018337
                      2,                 2.3104,                   11.1,                 2.5053,                0.00347,                      1,                0.43656,                0.30966,                 2.0119,                 9.4614,                 2.0829,             0.00037961,             0.00037961,             0.00037961
                      3,                 2.0887,                 10.936,                 2.4829,                0.00332,                      1,                0.41939,                0.30919,                 1.8177,                 9.5274,                 2.0597,              0.0005719,              0.0005719,              0.0005719
                      4,                 2.1772,                 9.5635,                 2.4631,                0.00332,                      1,                0.53374,                0.29814,                 1.7912,                 9.5173,                 2.2735,             0.00076022,             0.00076022,             0.00076022
                      5,                 2.0132,                 8.7904,                 2.3884,                0.00332,                      1,                0.12135,                  0.066,                 1.8689,                 9.0458,                 2.5381,             0.00094458,             0.00094458,             0.00094458
                      6,                 2.1591,                 9.1091,                 2.3951,                0.00284,                0.86667,                0.03324,                 0.0257,                 1.8318,                 7.8418,                 2.6431,               0.001125,               0.001125,               0.001125
                      7,                 2.0779,                 7.5922,                 2.3156,                0.00653,                      1,                0.24059,                0.16658,                 1.9355,                 6.3946,                 2.8261,              0.0013014,              0.0013014,              0.0013014
                      8,                 2.0606,                 8.7897,                 2.4902,                0.03748,                0.83333,                0.09577,                0.07108,                 1.9858,                 8.2954,                 2.8389,              0.0014739,              0.0014739,              0.0014739
                      9,                  2.077,                 7.7368,                 2.4657,                0.47496,                  0.525,                0.59122,                0.41857,                      2,                  8.222,                   2.92,               0.001535,               0.001535,               0.001535
                     10,                 2.2153,                 8.3838,                  2.693,                0.48743,                0.95833,                0.73326,                0.47752,                 2.2074,                 7.4867,                  3.524,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2029,                 7.4666,                 2.6822,                0.79773,                0.67271,                0.76594,                0.47807,                 2.5283,                 7.6257,                 3.6809,               0.001502,               0.001502,               0.001502
                     12,                 2.0962,                 6.9099,                 2.3874,                0.66247,                0.43333,                0.61911,                0.38867,                 2.2537,                 7.4045,                 3.3224,              0.0014855,              0.0014855,              0.0014855
