                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8809,                 14.912,                 4.6251,                0.00152,                    0.5,                0.00148,                0.00031,                 5.2204,                 11.547,                 4.8489,             0.00013336,             0.00013336,             0.00013336
                      2,                  2.418,                 12.032,                 2.4708,                0.00383,                      1,                0.56738,                0.39494,                 2.3695,                   9.52,                 2.1213,             0.00028058,             0.00028058,             0.00028058
                      3,                 2.1349,                 10.356,                 2.2837,                0.00346,                      1,                0.63836,                 0.4275,                 1.9289,                 9.4472,                 2.0934,             0.00042484,             0.00042484,             0.00042484
                      4,                 2.1353,                 11.274,                 2.4732,                0.00345,                      1,                0.54993,                0.30784,                 1.8372,                 10.132,                 2.3026,             0.00056612,             0.00056612,             0.00056612
                      5,                 2.0276,                 9.0612,                 2.2139,                0.00364,                      1,                0.46373,                0.26797,                 1.7366,                 9.9853,                 2.4745,             0.00070443,             0.00070443,             0.00070443
                      6,                 2.0241,                 9.5382,                 2.3688,                0.00339,                      1,                  0.114,                0.05513,                 1.7012,                 9.8221,                 2.4175,             0.00083978,             0.00083978,             0.00083978
                      7,                 2.1243,                 9.2193,                 2.4769,                0.00284,                   0.85,                0.02699,                0.00631,                 1.9201,                 9.6421,                 2.4348,             0.00097215,             0.00097215,             0.00097215
                      8,                 2.1582,                 9.7792,                 2.4531,                0.00174,                    0.5,                0.02043,                0.01495,                  2.241,                 9.6652,                  2.988,              0.0011015,              0.0011015,              0.0011015
                      9,                 2.1625,                 7.8158,                 2.3278,                0.00339,                      1,                0.83419,                0.56673,                 2.2631,                 8.9328,                 3.5862,               0.001228,               0.001228,               0.001228
                     10,                 2.1685,                 7.1103,                 2.3312,                      1,                 0.3889,                0.97833,                 0.6531,                  2.227,                 8.7789,                 3.4955,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.9687,                 8.8179,                 2.4471,                0.74724,                0.72013,                0.77746,                0.56524,                 2.0927,                 9.1335,                 3.2512,              0.0014719,              0.0014719,              0.0014719
                     12,                 2.0443,                 7.6212,                 2.3261,                0.49518,                 0.9012,                0.89924,                0.66461,                 2.2099,                 8.5757,                 3.0871,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.0494,                 8.0418,                 2.4827,                0.89611,                    0.5,                0.91702,                0.60013,                 2.3463,                 8.8569,                 3.3475,               0.001469,               0.001469,               0.001469
                     14,                 2.2437,                 7.9818,                 2.5589,                0.95314,                 0.4845,                0.89177,                0.66089,                 2.0456,                 12.025,                 3.1077,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0108,                 7.5219,                 2.4241,                0.48933,                0.75517,                0.85686,                0.62764,                 2.1792,                 8.5544,                 3.1794,               0.001436,               0.001436,               0.001436
