                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.815,                 3.8212,                 2.2232,                0.00504,                      1,                0.02019,                0.00527,                 1.8636,                  3.806,                   1.75,                      0,                      0,                      0
                      2,                 2.5294,                 3.9673,                 2.1924,                0.00503,                      1,                0.02081,                0.00538,                  1.821,                 3.7886,                 1.7183,              1.601e-05,              1.601e-05,              1.601e-05
                      3,                  2.707,                 3.7685,                 1.9924,                0.00488,                      1,                0.02022,                0.00566,                 1.7373,                 3.7652,                 1.6565,             3.0699e-05,             3.0699e-05,             3.0699e-05
                      4,                 2.6045,                 3.8869,                  2.126,                0.00467,                      1,                0.02063,                0.00613,                 1.5686,                 3.7553,                 1.5539,             4.4069e-05,             4.4069e-05,             4.4069e-05
                      5,                 1.9808,                 3.8424,                 1.7807,                0.00455,                      1,                0.02069,                0.00715,                 1.3324,                 3.6858,                 1.4019,             5.6118e-05,             5.6118e-05,             5.6118e-05
                      6,                 1.9561,                 3.7538,                 1.7388,                 0.0045,                      1,                0.02056,                0.00885,                 1.1054,                 3.6326,                 1.2695,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      7,                 1.7362,                 3.6318,                 1.6129,                0.00456,                      1,                0.02037,                 0.0096,                0.96919,                 3.5563,                 1.1891,             7.6255e-05,             7.6255e-05,             7.6255e-05
                      8,                 1.4279,                 3.5349,                 1.3345,                0.00442,                      1,                 0.0196,                0.01136,                 0.8826,                 3.4577,                 1.0858,             8.4344e-05,             8.4344e-05,             8.4344e-05
                      9,                 1.4729,                 3.5358,                  1.262,                0.00425,                      1,                0.01885,                0.01356,                0.83609,                 3.4156,                  1.012,             9.1112e-05,             9.1112e-05,             9.1112e-05
                     10,                   1.37,                 3.4007,                 1.2123,                0.00417,                      1,                0.01868,                0.01395,                0.84709,                 3.3871,                0.98249,             9.6559e-05,             9.6559e-05,             9.6559e-05
                     11,                 1.1632,                 3.1765,                 1.1495,                0.00415,                      1,                0.01943,                0.01496,                 0.8334,                 3.3689,                0.96187,             0.00010069,             0.00010069,             0.00010069
                     12,                 1.2317,                 3.1455,                 1.1292,                0.00413,                      1,                0.03727,                0.01954,                0.76909,                 3.3685,                0.94163,             0.00010349,             0.00010349,             0.00010349
                     13,                 1.2952,                  3.056,                 1.1211,                0.00418,                      1,                0.07262,                0.02898,                0.83026,                 3.3305,                0.92854,             0.00010498,             0.00010498,             0.00010498
                     14,                0.98925,                 2.9097,                  1.016,                 0.0041,                      1,                0.07258,                0.02885,                0.83608,                 3.3196,                0.91772,             0.00010515,             0.00010515,             0.00010515
                     15,                0.76171,                 2.7249,                0.96518,                0.00417,                      1,                0.07595,                0.02986,                0.80389,                 3.3149,                 0.9055,             0.00010399,             0.00010399,             0.00010399
                     16,                0.89467,                  2.435,                 0.9896,                0.00416,                      1,                0.10636,                0.06264,                0.72786,                 3.3052,                0.89508,             0.00010152,             0.00010152,             0.00010152
                     17,                0.79573,                 2.2203,                0.92961,                0.00415,                      1,                0.21845,                0.14165,                0.71908,                 3.2721,                0.88054,             9.7726e-05,             9.7726e-05,             9.7726e-05
                     18,                0.76275,                 2.0396,                 0.8992,                0.00415,                      1,                0.21845,                0.14165,                0.71908,                 3.2721,                0.88054,             9.2612e-05,             9.2612e-05,             9.2612e-05
                     19,                0.93925,                  2.002,                 1.0155,                0.00408,                      1,                0.25363,                0.18914,                0.70575,                 3.2277,                0.88343,             8.6177e-05,             8.6177e-05,             8.6177e-05
                     20,                0.69407,                 1.9112,                0.92237,                0.00408,                      1,                0.25363,                0.18914,                0.70575,                 3.2277,                0.88343,             7.8422e-05,             7.8422e-05,             7.8422e-05
                     21,                 0.6389,                 1.8529,                0.86613,                 0.0041,                      1,                0.38143,                0.28693,                0.69996,                 3.1916,                 0.8825,             6.9347e-05,             6.9347e-05,             6.9347e-05
                     22,                0.86566,                 1.8512,                0.98533,                 0.0041,                      1,                0.38143,                0.28693,                0.69996,                 3.1916,                 0.8825,             5.8952e-05,             5.8952e-05,             5.8952e-05
                     23,                0.74309,                 1.7901,                0.88617,                0.00395,                      1,                0.46128,                0.35737,                0.67779,                 3.1603,                0.88521,             4.7236e-05,             4.7236e-05,             4.7236e-05
                     24,                0.69177,                 1.7299,                0.93171,                0.00395,                      1,                0.46128,                0.35737,                0.67779,                 3.1603,                0.88521,               3.42e-05,               3.42e-05,               3.42e-05
                     25,                0.75271,                 1.7084,                0.91875,                0.00386,                      1,                0.46138,                0.35746,                0.67698,                 3.1388,                0.88732,             1.9844e-05,             1.9844e-05,             1.9844e-05
